loinc,ig_display,loinc_display,ucum_suggested,source,verification,note
87926-2,Epithelial cells [#/volume] in Urine by Automated,Epithelial cells [#/volume] in Urine by Automated,/uL,LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
88112-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,U/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
89015-2,Pure tone air conduction threshold audiometry panel,Pure tone air conduction threshold audiometry panel,,LOINC 未提供建議單位,LOINC 未提供,
89016-0,Hearing threshold Ear - left --1000 Hz,Hearing threshold Ear - left --1000 Hz,dB,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
89017-8,Hearing threshold Ear - right --1000 Hz,Hearing threshold Ear - right --1000 Hz,dB,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
89018-6,Hearing threshold Ear - left --2000 Hz,Hearing threshold Ear - left --2000 Hz,dB,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
89019-4,Hearing threshold Ear - right --2000 Hz,Hearing threshold Ear - right --2000 Hz,dB,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
89020-2,Hearing threshold Ear - left --3000 Hz,Hearing threshold Ear - left --3000 Hz,dB,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
89021-0,Hearing threshold Ear - right --3000 Hz,Hearing threshold Ear - right --3000 Hz,dB,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
89022-8,Hearing threshold Ear - left --4000 Hz,Hearing threshold Ear - left --4000 Hz,dB,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
89023-6,Hearing threshold Ear - right --4000 Hz,Hearing threshold Ear - right --4000 Hz,dB,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
89024-4,Hearing threshold Ear - left --500 Hz,Hearing threshold Ear - left --500 Hz,dB,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
89025-1,Hearing threshold Ear - right --500 Hz,Hearing threshold Ear - right --500 Hz,dB,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
89026-9,Hearing threshold Ear - left --6000 Hz,Hearing threshold Ear - left --6000 Hz,dB,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
89027-7,Hearing threshold Ear - right --6000 Hz,Hearing threshold Ear - right --6000 Hz,dB,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
89028-5,Hearing threshold Ear - left --8000 Hz,Hearing threshold Ear - left --8000 Hz,dB,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
89029-3,Hearing threshold Ear - right --8000 Hz,Hearing threshold Ear - right --8000 Hz,dB,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
9318-7,Albumin/Creatinine [Mass Ratio] in Urine,Albumin/Creatinine [Mass Ratio] in Urine,ug/mg{creat},LOINC EXAMPLE_UCUM_UNITS,相符,JOB-19 補充事項 §2：由值集展開稽核補列（CI run 30534387613 之 $lookup）
9397-1,Color of Stool,Color of Stool,,LOINC 未提供建議單位,LOINC 未提供,
9633-9,Epstein Barr virus VCA IgA Ab [Presence] in Serum,Epstein Barr virus capsid IgA Ab [Titer] in Serum by Immunofluorescence,{titer},"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
9679-2,Squamous cell carcinoma Ag [Mass/volume] in Serum or Plasma,Squamous cell carcinoma Ag [Mass/volume] in Serum or Plasma,ng/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
97149-9,[-2]pro-prostate specific antigen [Mass/volume] in Serum or Plasma,proPSA isoform 2 [Mass/volume] in Serum or Plasma by Immunoassay,pg/mL,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
97150-7,Prostate Health Index in Serum or Plasma,Prostate health index in Serum or Plasma by calculation,{score},"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
9827-7,Paraquat [Mass/volume] in Urine,Paraquat [Mass/volume] in Urine,mg/L,"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
9830-1,Cholesterol/Cholesterol in HDL [Mass Ratio] in Serum or Plasma,Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma,{ratio},"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
98497-1,Visual acuity panel,Visual acuity panel,,LOINC 未提供建議單位,LOINC 未提供,
98979-8,"Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI 2021)/1.73 sq M","Glomerular filtration rate [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI 2021)/1.73 sq M",mL/min/{1.73_m2},"LOINC EXAMPLE_UCUM_UNITS (tx.fhir.org, LOINC 2.82)",相符,
