code,ig_display,loinc_display,loinc_status,overlap,verdict,files
19935-6,Maximum expiratory gas flow Respiratory system airway by Peak flow meter,Maximum expiratory gas flow Respiratory system airway by Peak flow meter,ACTIVE,1.00,相符,input/fsh/valuesets/VS-PulmonaryFunction.fsh
20146-7,Residual volume,Residual volume,ACTIVE,1.00,相符,input/fsh/valuesets/VS-PulmonaryFunction.fsh
20150-9,FEV1,FEV1,ACTIVE,1.00,相符,input/fsh/profiles/TWHA-PulmonaryFunction.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh; input/fsh/valuesets/VS-PulmonaryFunction.fsh
2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
20448-7,Insulin [Units/volume] in Serum or Plasma,Insulin [Units/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
20456-0,Fungi yeast-like [Presence] in Urine sediment,Fungi.yeastlike [Presence] in Urine sediment by Light microscopy,ACTIVE,0.60,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
20507-0,Reagin Ab [Presence] in Serum by RPR,Reagin Ab [Presence] in Serum by RPR,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
20621-9,Albumin/Creatinine [Ratio] in Urine by Test strip,Albumin/Creatinine [Mass Ratio] in Urine by Test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
20627-6,Color of Urine,Turbidity [Presence] of Urine Qualitative,ACTIVE,0.50,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
2075-0,Chloride [Moles/volume] in Serum or Plasma,Chloride [Moles/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Cholesterol in HDL [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-CoreDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh
2089-1,Cholesterol in LDL [Mass/volume] in Serum or Plasma,Cholesterol in LDL [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh
2093-3,Cholesterol [Mass/volume] in Serum or Plasma,Cholesterol [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-CoreDataset.fsh; input/fsh/valuesets/VS-OccHealthCheck-Required.fsh
2098-2,Cholinesterase [Enzymatic activity/volume] in Serum or Plasma,Cholinesterase [Enzymatic activity/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
2132-9,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
21440-3,Human papilloma virus 16+18+31+33+35+45+51+52+56 DNA [Presence] in Cervix by Probe,Human papilloma virus 16+18+31+33+35+45+51+52+56 DNA [Presence] in Cervix by Probe,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
