code,class,ig_display,official_display,component_diff,system_diff,property_diff,method_diff,action,replacement_code,rationale,verified_by,verified_date,lookup_display,lookup_component,lookup_property,lookup_system,lookup_scale,lookup_method,lookup_status,lookup_error
"5193-8","B","Hepatitis B virus surface Ab [Presence] in Serum or Plasma","Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay","false","false","Presence","true","REVIEW","","","","","Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay","LP38330-4","LP6773-8","LP7576-4","LP7753-9","LP217197-5","ACTIVE",""
"5334-8","C","Rubella virus IgG Ab [Units/volume] in Serum or Plasma","Rubella virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"5403-1","A","Varicella zoster virus IgG Ab [Units/volume] in Serum or Plasma","Varicella zoster virus IgG Ab [Units/volume] in Serum by Immunoassay","false","Serum or Plasma","false","true","REVIEW","","","","","Varicella zoster virus IgG Ab [Units/volume] in Serum by Immunoassay","LP40112-2","LP6773-8","LP7567-3","LP7753-9","LP217197-5","ACTIVE",""
"56888-1","A","HIV 1 and 2 Ag and Ab panel [Presence] in Serum or Plasma","HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma by Immunoassay","true","false","false","true","REVIEW","","","","","HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma by Immunoassay","LP96327-9","LP217195-9","LP7576-4","LP7751-3","LP217197-5","ACTIVE",""
"7962-4","A","Measles virus IgG Ab [Units/volume] in Serum or Plasma","Measles virus IgG Ab [Units/volume] in Serum","false","Serum or Plasma","false","false","REVIEW","","","","","Measles virus IgG Ab [Units/volume] in Serum","LP39007-7","LP6773-8","LP7567-3","LP7753-9","","ACTIVE",""
"12453-7","A","Amorphous phosphate crystals [Presence] in Urine sediment","Phosphate crystals amorphous [Presence] in Urine sediment by Light microscopy","true","false","false","true","REVIEW","","","","","Phosphate crystals amorphous [Presence] in Urine sediment by Light microscopy","LP18117-9","LP217195-9","LP7690-3","LP7751-3","LP6398-4","ACTIVE",""
"12454-5","A","Amorphous urate crystals [Presence] in Urine sediment","Urate crystals amorphous [Presence] in Urine sediment by Light microscopy","true","false","false","true","REVIEW","","","","","Urate crystals amorphous [Presence] in Urine sediment by Light microscopy","LP18118-7","LP217195-9","LP7690-3","LP7751-3","LP6398-4","ACTIVE",""
"13658-0","C","Urobilinogen [Presence] in Urine by Test strip","Urobilinogen [Presence] in Urine","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"20456-0","A","Fungi yeast-like [Presence] in Urine sediment","Fungi.yeastlike [Presence] in Urine sediment by Light microscopy","true","false","false","true","REVIEW","","","","","Fungi.yeastlike [Presence] in Urine sediment by Light microscopy","LP16855-6","LP217195-9","LP7690-3","LP7751-3","LP6398-4","ACTIVE",""
"20621-9","B","Albumin/Creatinine [Ratio] in Urine by Test strip","Albumin/Creatinine [Mass Ratio] in Urine by Test strip","false","false","Ratio","false","REVIEW","","","","","Albumin/Creatinine [Mass Ratio] in Urine by Test strip","LP284902-6","LP6834-8","LP7681-2","LP436123-6","LP6548-4","ACTIVE",""
